citta,lat,lon
"Gunnison, CO",38.6476702,-107.0603126
"Bethel, AK",60.7922222,-161.755833
"Dillingham, AK",59.0398598,-158.4604177
"Providence, RI",41.8239891,-71.4128343
"Lake Charles, LA",30.2305095,-93.2169807
"Gillette, WY",44.290635,-105.501876
"Boston, MA",42.3554334,-71.060511
"Wichita, KS",37.68118565,-97.38720322122725
"Des Moines, IA",41.5868654,-93.6249494
"Hayden, CO",40.4950011,-107.2588464
"Brainerd, MN",46.3580221,-94.2008288
"Sioux City, IA",42.4966815,-96.4058782
"Washington, DC",38.8950368,-77.0365427
"Columbia, SC",34.0003117,-81.0331309
"Santa Fe, NM",35.6876096,-105.938456
"Islip, NY",40.7300685,-73.2107266
"Charleston/Dunbar, WV",38.372222952852916,-81.70763610917932
"Muskegon, MI",43.2341813,-86.2483921
"Miami, FL",25.7820042,-80.22256438834017
"Fort Wayne, IN",41.0799898,-85.1386015
"Pocatello, ID",42.8620287,-112.450627
"Omaha, NE",41.2587459,-95.9383758
"New York, NY",40.7127281,-74.0060152
"Texarkana, AR",33.4254259,-94.0430937
"Santa Maria, CA",34.9531295,-120.435857
"Christiansted, VI",17.7439481,-64.7079823
"Charlotte, NC",35.2272086,-80.8430827
"Columbus, MS",33.4956744,-88.4272627
"Joplin, MO",37.0841838,-94.5133385
"Ketchikan, AK",55.3430696,-131.6466819
"Akron, OH",41.083064,-81.518485
"Elmira/Corning, NY",42.16082385,-76.8941293224737
"Arcata/Eureka, CA",40.9763645,-124.10842589937442
"Sitka, AK",57.4086082,-135.4596206
"Alpena, MI",45.0176181,-83.6670019
"Alexandria, LA",31.3119463,-92.4453558
"Green Bay, WI",44.5126379,-88.0125794
"Champaign/Urbana, IL",40.1157948,-88.241194
"Yuma, AZ",32.723268,-114.6179954
"St. George, UT",37.104153,-113.584131
"Albany, NY",42.6511674,-73.754968
"Laredo, TX",27.5075005,-99.5069922
"Rhinelander, WI",45.636623,-89.412075
"Honolulu, HI",21.304547,-157.855676
"Martha's Vineyard, MA",41.39204545,-70.62081381546194
"Wrangell, AK",56.4706022,-132.3829431
"Madison, WI",43.074761,-89.3837613
"Kahului, HI",20.8894101,-156.4727118
"Baltimore, MD",39.2908816,-76.610759
"Idaho Falls, ID",43.4887907,-112.03628
"Dayton, OH",39.7589478,-84.1916069
"Eau Claire, WI",44.811349,-91.4984941
"Buffalo, NY",42.8867166,-78.8783922
"Bemidji, MN",47.4785418,-94.8907869
"Charleston, SC",32.7884363,-79.9399309
"Erie, PA",42.1294712,-80.0852695
"Mammoth Lakes, CA",37.6432525,-118.9668509
"Binghamton, NY",42.098698,-75.9125187
"Aguadilla, PR",18.449655149999998,-67.11847643508234
"Evansville, IN",37.970495,-87.5715641
"Norfolk, VA",36.8493695,-76.2899539
"Philadelphia, PA",39.9527237,-75.1635262
"Jackson, WY",43.479965,-110.761815
"Bellingham, WA",48.7544012,-122.478836
"Great Falls, MT",47.5048851,-111.29189
"Minot, ND",48.23251,-101.296273
"Helena, MT",46.5927425,-112.036277
"Billings, MT",45.7874957,-108.49607
"Colorado Springs, CO",38.8339578,-104.825348
"Chattanooga, TN",35.0457219,-85.3094883
"Shreveport, LA",32.5135356,-93.7477839
"Deadhorse, AK",70.1999496,-148.461816
"Sault Ste. Marie, MI",46.4976734,-84.3476583
"Kodiak, AK",57.7901661,-152.4067073
"Grand Rapids, MI",42.9632425,-85.6678639
"Knoxville, TN",35.9603948,-83.9210261
"Dallas, TX",32.7762719,-96.7968559
"Monroe, LA",32.5025471,-92.116219
"Springfield, IL",39.7990175,-89.6439575
"Adak Island, AK",51.79622495,-176.57442259513414
"La Crosse, WI",43.8122836,-91.2514355
"Asheville, NC",35.595363,-82.5508407
"Beaumont/Port Arthur, TX",29.94788983685688,-93.97932858601824
"Kotzebue, AK",66.8982057,-162.5977621
"Harrisburg, PA",40.2663107,-76.8861122
"Columbus, GA",32.4610708,-84.9880449
"Anchorage, AK",61.2163129,-149.894852
"Reno, NV",39.5261206,-119.8126581
"Charlottesville, VA",38.029306,-78.4766781
"Wilmington, NC",34.2257282,-77.9447107
"Durango, CO",37.2769484,-107.8766
"Lihue, HI",21.9769622,-159.3687721
"Dubuque, IA",42.5006243,-90.6647985
"Paducah, KY",37.0833893,-88.6000478
"Hancock/Houghton, MI",47.126871,-88.580956
"Newark, NJ",40.735657,-74.1723667
"Savannah, GA",32.0790074,-81.0921335
"Jacksonville/Camp Lejeune, NC",34.7814287,-77.3999152372492
"International Falls, MN",48.601033,-93.4105904
"El Paso, TX",31.7601164,-106.4870404
"Fort Smith, AR",35.3880338,-94.4265011
"Valparaiso, FL",30.5085309,-86.5027282
"St. Louis, MO",38.6280278,-90.1910154
"Williston, ND",48.1465457,-103.621814
"Scranton/Wilkes-Barre, PA",41.33709205,-75.72257122928625
"Yakutat, AK",59.6391781,-139.3429439
"Raleigh/Durham, NC",35.880361449999995,-78.78723821716514
"Little Rock, AR",34.7465071,-92.2896267
"El Centro, CA",32.792,-115.563051
"Burlington, VT",44.4761601,-73.212906
"Staunton, VA",38.1495947,-79.072557
"San Angelo, TX",31.4649685,-100.4405094
"Gainesville, FL",29.6519684,-82.3249846
"Waterloo, IA",42.498275,-92.3328743
"Inyokern, CA",35.652055000000004,-117.81766295868346
"Seattle, WA",47.6038321,-122.330062
"San Francisco, CA",37.7792588,-122.4193286
"Juneau, AK",58.3019496,-134.419734
"Roswell, NM",33.3943282,-104.5229518
"Indianapolis, IN",39.7683331,-86.1583502
"Tallahassee, FL",30.4380832,-84.2809332
"Del Rio, TX",29.357515,-100.8987707
"Marquette, MI",46.4481521,-87.6305899
"Albuquerque, NM",35.0841034,-106.650985
"Jacksonville, FL",30.3321838,-81.655651
"Chicago, IL",41.8755616,-87.6244212
"Wichita Falls, TX",33.9004572,-98.5020777
"Bakersfield, CA",35.3738712,-119.019463
"Salt Lake City, UT",40.7596198,-111.886797
"Bloomington/Normal, IL",40.508752,-88.9844947
"Daytona Beach, FL",29.2108147,-81.0228331
"Long Beach, CA",33.7690164,-118.191604
"Dickinson, ND",46.8791756,-102.7896242
"Crescent City, CA",41.7538193,-124.1966461
"Syracuse, NY",43.0481221,-76.1474244
"Watertown, NY",43.9747838,-75.9107565
"Aberdeen, SD",45.4649805,-98.487813
"Bozeman, MT",45.6794293,-111.044047
"Hobbs, NM",32.707667,-103.1311314
"San Juan, PR",18.384239049999998,-66.05343997364733
"Houston, TX",29.7589382,-95.3676974
"Hartford, CT",41.764582,-72.6908547
"Rochester, MN",44.0234387,-92.4630182
"Augusta, GA",33.4709714,-81.9748429
"Grand Junction, CO",39.0672568,-108.56448
"Tampa, FL",27.9477595,-82.458444
"Flagstaff, AZ",35.1987522,-111.651822
"Burbank, CA",34.1812089,-118.307201
"Rock Springs, WY",41.5860557,-109.2194544
"Santa Ana, CA",33.7494951,-117.873221
"West Yellowstone, MT",44.6632056,-111.1012064
"Montgomery, AL",32.37742,-86.3091683
